experiment,ticker,horizon,model,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
Experiment 1 — Univariate Close,MSFT,10,LightGBM,50,6.512355741508442,1.846871795140359,0.03591572447457918,0.68
Experiment 1 — Univariate Close,MSFT,10,Naive,50,6.479351158142089,2.0161209106445312,0.03299012317273015,0.0
Experiment 1 — Univariate Close,MSFT,10,XGBoost,50,6.070255917218873,2.101106307129939,0.03453032389197396,0.66
Experiment 1 — Univariate Close,MSFT,20,ARIMA,50,7.411391311851502,3.5227222830846294,0.042255332198380534,0.58
Experiment 1 — Univariate Close,MSFT,20,Chronos-2,50,6.6855315780639675,2.3807144165039062,0.03776405962333722,0.72
Experiment 1 — Univariate Close,MSFT,20,ETS,50,6.992269221059701,2.9798010825668975,0.04077802647905346,0.56
Experiment 1 — Univariate Close,MSFT,20,GARCH,50,6.294012861635444,2.362396334920092,0.03701587646186519,0.7
Experiment 1 — Univariate Close,MSFT,20,GJR-GARCH,50,6.384466712027336,2.650120814080651,0.03775147596436799,0.72
Experiment 1 — Univariate Close,MSFT,20,LightGBM,50,10.993678553008463,4.369843439932538,0.06338109129828894,0.5
Experiment 1 — Univariate Close,MSFT,20,Naive,50,7.375335121154786,3.4894924163818324,0.04230020653972795,0.0
Experiment 1 — Univariate Close,MSFT,20,XGBoost,50,9.63262441589336,3.268278534749925,0.05844610930287705,0.56
Experiment 1 — Univariate Close,NVDA,1,ARIMA,50,0.8323706330786759,0.06568513098560125,0.020465286876526205,0.48
Experiment 1 — Univariate Close,NVDA,1,Chronos-2,50,0.865699421763419,0.07715415954589866,0.021233650105033242,0.5
Experiment 1 — Univariate Close,NVDA,1,EGARCH,50,0.8194687851732607,0.060413025466172776,0.02007676176191318,0.66
Experiment 1 — Univariate Close,NVDA,1,ETS,50,0.8285582556771157,0.07147812203624637,0.020287067556554374,0.48
Experiment 1 — Univariate Close,NVDA,1,GARCH,50,0.8171079658500647,0.06292958201750887,0.020042090393901993,0.66
Experiment 1 — Univariate Close,NVDA,1,GJR-GARCH,50,0.8188300394293635,0.06108165606006555,0.020071262261099322,0.66
Experiment 1 — Univariate Close,NVDA,1,LightGBM,50,0.9145928122827474,0.09033537582434814,0.024362753774211564,0.38
Experiment 1 — Univariate Close,NVDA,1,Naive,50,0.8314018368720988,0.047803640365600586,0.020311803803834003,0.02
Experiment 1 — Univariate Close,NVDA,1,XGBoost,50,0.8357193435653708,0.08177650274796378,0.021193172897021037,0.5
