ticker,experiment,cutoff_date,horizon,model,actual,predicted,price_mae,return_abs_error,direction_hit
NVDA,Experiment 1 — Univariate Close,2019-12-26,10,arima,6.073429107666016,5.945790589661978,0.12763851800403803,0.02146662165880564,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,10,ets,6.073429107666016,6.005546383053673,0.06788272461234257,0.011416716436459584,1.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,10,garch,6.073429107666016,6.010238688309039,0.06319041935697634,0.010627550726925339,1.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,10,gjr_garch,6.073429107666016,6.003532459883491,0.06989664778252447,0.011755423963154987,1.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,10,xgboost,6.073429107666016,5.920565101448309,0.15286400621770646,0.02570911851719393,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,10,lightgbm,6.073429107666016,5.754189400842698,0.3192397068233177,0.05369067356789092,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,20,naive,5.971012115478516,5.945906162261963,0.025105953216552734,0.004222393110725031,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,20,arima,5.971012115478516,5.9457905777404685,0.02522153773804714,0.004241832455770145,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,20,ets,5.971012115478516,6.054884217894507,0.08387210241599163,0.01410585705982359,1.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,20,garch,5.971012115478516,6.07526726871598,0.1042551532374647,0.01753393854399543,1.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,20,gjr_garch,5.971012115478516,6.061717257771747,0.09070514229323123,0.015255057819265172,1.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,20,xgboost,5.971012115478516,5.855384106033508,0.1156280094450075,0.01944665897670672,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,20,lightgbm,5.971012115478516,5.907031727942179,0.06398038753633628,0.010760409900582135,0.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,1,naive,7.117516040802002,6.703622341156006,0.4138936996459961,0.06174179847587036,0.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,1,arima,7.117516040802002,6.72719265910963,0.39032338169237235,0.05822574152127191,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,1,ets,7.117516040802002,6.764404213988674,0.3531118268133282,0.05267477922278596,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,1,garch,7.117516040802002,6.711256826323862,0.4062592144781396,0.06060293879981349,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,1,egarch,7.117516040802002,6.709989023257204,0.4075270175447976,0.0607920608896535,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,1,gjr_garch,7.117516040802002,6.710249941038366,0.40726609976363637,0.06075313898029133,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,1,xgboost,7.117516040802002,6.7792509023927705,0.33826513840923145,0.05046005296755718,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,1,lightgbm,7.117516040802002,6.859249568452439,0.2582664723495629,0.038526405457534496,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,5,naive,7.247105598449707,6.703622341156006,0.5434832572937012,0.08107307208478276,0.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,5,arima,7.247105598449707,6.7196013213709715,0.5275042770787355,0.07868943837128062,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,5,ets,7.247105598449707,6.776370623728861,0.47073497472084647,0.070220986619552,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,5,garch,7.247105598449707,6.74188181214411,0.5052237863055966,0.07536578891144297,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,5,gjr_garch,7.247105598449707,6.736825929776712,0.5102796686729949,0.07611999046249962,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,5,xgboost,7.247105598449707,6.501469119799053,0.7456364786506544,0.11122889099418942,0.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,5,lightgbm,7.247105598449707,6.937082280447463,0.31002331800224425,0.04624713359803945,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,10,naive,7.306305408477783,6.703622341156006,0.6026830673217773,0.08990409015461442,0.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,10,arima,7.306305408477783,6.718829420097037,0.5874759883807465,0.08763560333254672,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,10,ets,7.306305408477783,6.790808916396532,0.515496492081251,0.07689820008451664,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,10,garch,7.306305408477783,6.780359640767206,0.525945767710577,0.0784569507267141,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,10,gjr_garch,7.306305408477783,6.77019397848201,0.5361114299957732,0.07997339389249114,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,10,xgboost,7.306305408477783,7.00432365060367,0.3019817578741133,0.04504754929586885,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,10,lightgbm,7.306305408477783,7.040041855931483,0.26626355254630063,0.03971935455128639,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,20,naive,8.760899543762207,6.703622341156006,2.057277202606201,0.30689037924702567,0.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,20,arima,8.760899543762207,6.718864867173111,2.042034676589096,0.3046166046753995,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,20,ets,8.760899543762207,6.81803694724677,1.942862596515437,0.2898227999193044,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,20,garch,8.760899543762207,6.857975362946377,1.9029241808158304,0.28386506339014317,1.0
